GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backtrader1.0,com.backtrader.requestresponse,AuthRequest,134,0,22,0,3,0,21,0,10,0
backtrader1.0,com.backtrader.requestresponse,ResetPassword,108,26,22,0,0,3,15,6,4,6
backtrader1.0,com.backtrader.requestresponse,AuthResponse,180,0,30,0,3,0,27,0,12,0
backtrader1.0,com.backtrader.requestresponse,ForgotPassword,79,9,14,0,1,2,13,2,6,2
backtrader1.0,com.backtrader.swagger,SwaggerConfig,0,40,0,0,0,6,0,3,0,3
backtrader1.0,com.backtrader.scheduler,SchedulerForFinanceData,54,7,4,0,14,2,4,1,2,1
backtrader1.0,com.backtrader.utils,LoggerClass,7,0,0,0,2,0,1,0,1,0
backtrader1.0,com.backtrader.model,UserModel.UserModelBuilder,31,42,0,0,0,1,1,7,1,7
backtrader1.0,com.backtrader.model,UserModel,20,71,0,0,1,5,5,9,5,9
backtrader1.0,com.backtrader.exception,NoValuePresentException,58,30,13,1,0,3,11,4,4,4
backtrader1.0,com.backtrader.userentity,ForgotPasswordToken,48,24,0,0,2,3,4,7,4,7
backtrader1.0,com.backtrader.userentity,FinanceRequest,26,0,0,0,4,0,6,0,6,0
backtrader1.0,com.backtrader.userentity,Users.UsersBuilder,41,56,0,0,0,1,1,9,1,9
backtrader1.0,com.backtrader.userentity,Stock,0,87,0,0,0,5,0,13,0,13
backtrader1.0,com.backtrader.userentity,Roles,0,45,0,0,0,6,0,8,0,8
backtrader1.0,com.backtrader.userentity,Users,0,121,0,0,0,6,0,18,0,18
backtrader1.0,com.backtrader.userentity,SellStock,357,3,46,0,2,1,44,1,21,1
backtrader1.0,com.backtrader.userentity,BuyStock,255,105,46,0,1,2,27,18,4,18
backtrader1.0,com.backtrader.userentity,StockDataWithSymbol,373,66,72,0,1,2,41,19,5,19
backtrader1.0,com.backtrader.userentity,Order,312,59,52,0,3,2,32,17,6,17
backtrader1.0,com.backtrader.userentity,MetaData,298,3,48,0,2,1,41,1,17,1
backtrader1.0,com.backtrader.userentity,StockData,390,3,64,0,2,1,53,1,21,1
backtrader1.0,com.backtrader.userentity,StockPrice,272,0,46,0,3,0,39,0,16,0
backtrader1.0,com.backtrader.service,FinanceServiceDuplicate,906,7,50,0,195,2,26,1,1,1
backtrader1.0,com.backtrader.service,BuySellStockService,446,18,8,0,95,4,10,1,6,1
backtrader1.0,com.backtrader.service,UserService,5,574,3,21,1,108,3,39,0,30
backtrader1.0,com.backtrader.service,FinanceAPICall,36,3,0,0,5,1,1,1,1,1
backtrader1.0,com.backtrader.service,FinanceServiceForJsonData,88,6,2,0,18,3,2,1,1,1
backtrader1.0,com.backtrader.resetpasswordrequest,PasswordResetRequest,3,0,0,0,1,0,1,0,1,0
backtrader1.0,com.backtrader,Application,5,3,0,0,2,1,1,1,1,1
backtrader1.0,com.backtrader.securityconfiguration,SecurityConfiguration,0,126,0,0,0,20,0,8,0,8
backtrader1.0,com.backtrader.controller,FinanceControllerForJsonData,16,7,0,0,2,2,2,1,2,1
backtrader1.0,com.backtrader.controller,FinanceController,26,7,0,0,4,2,2,1,2,1
backtrader1.0,com.backtrader.controller,BuySellStockController,30,3,0,0,4,1,3,1,3,1
backtrader1.0,com.backtrader.controller,UserController,102,7,2,0,17,2,11,1,10,1
backtrader1.0,com.backtrader.jwtconfiguration,JwtToken,77,6,2,0,11,2,5,1,4,1
backtrader1.0,com.backtrader.jwtconfiguration,JwtTokenFilter,57,3,8,0,14,1,6,1,2,1
backtrader1.0,com.backtrader.jwtconfiguration,FinanceConfiguration,3,7,0,0,1,2,1,2,1,2
backtrader1.0,com.backtrader.corsconfig,CorsConfiguration.new WebMvcConfigurer() {...},0,68,0,0,0,5,0,2,0,2
backtrader1.0,com.backtrader.corsconfig,CorsConfiguration,0,8,0,0,0,2,0,2,0,2
backtrader1.0,com.backtrader.emailconfig,EmailService,7,53,0,0,2,15,0,2,0,2
